id,date,open_price,high_price,low_price,close_price,adj_close,volume
1,"May 24, 2024",2.45,2.48,2.347,2.46,2.46,"1,768,500"
2,"May 23, 2024",2.58,2.59,2.35,2.36,2.36,"2,220,400"
3,"May 22, 2024",2.57,2.65,2.53,2.56,2.56,"1,776,900"
4,"May 21, 2024",2.76,2.76,2.57,2.59,2.59,"2,242,700"
5,"May 20, 2024",2.73,2.819,2.675,2.73,2.73,"2,433,600"
6,"May 17, 2024",2.83,2.86,2.7,2.78,2.78,"3,825,900"
7,"May 16, 2024",2.64,2.91,2.62,2.87,2.87,"5,165,000"
8,"May 15, 2024",2.7,2.77,2.53,2.65,2.65,"6,249,000"
9,"May 14, 2024",2.81,3.02,2.74,2.79,2.79,"8,019,300"
10,"May 13, 2024",2.63,2.88,2.63,2.72,2.72,"4,894,300"
11,"May 10, 2024",2.53,2.59,2.5,2.56,2.56,"2,549,700"
12,"May 9, 2024",2.55,2.6,2.44,2.53,2.53,"2,206,900"
13,"May 8, 2024",2.52,2.58,2.45,2.54,2.54,"1,840,100"
14,"May 7, 2024",2.62,2.64,2.38,2.58,2.58,"3,348,400"
15,"May 6, 2024",2.73,2.77,2.61,2.63,2.63,"3,025,500"
16,"May 3, 2024",2.81,2.89,2.75,2.77,2.77,"2,046,000"
17,"May 2, 2024",2.8,2.83,2.63,2.83,2.83,"2,638,900"
18,"May 1, 2024",2.79,2.94,2.75,2.79,2.79,"2,009,100"
19,"Apr 30, 2024",2.8,2.895,2.69,2.88,2.88,"2,028,500"
20,"Apr 29, 2024",2.76,2.89,2.71,2.82,2.82,"1,913,700"
21,"Apr 26, 2024",2.76,2.83,2.7,2.77,2.77,"2,265,700"
22,"Apr 25, 2024",2.89,2.99,2.68,2.7,2.7,"3,749,000"
23,"Apr 24, 2024",3.25,3.285,2.87,2.9,2.9,"3,933,600"
24,"Apr 23, 2024",3.27,3.45,3.14,3.17,3.17,"3,537,700"
25,"Apr 22, 2024",2.88,3.41,2.68,3.4,3.4,"5,980,900"
26,"Apr 19, 2024",3.01,3.1,2.75,2.85,2.85,"3,572,800"
27,"Apr 18, 2024",3.02,3.23,2.921,3,3,"5,762,200"
28,"Apr 17, 2024",3.07,3.49,2.84,2.86,2.86,"9,042,600"
29,"Apr 16, 2024",2.38,3.299,2.38,2.93,2.93,"14,688,900"
30,"Apr 15, 2024",2.32,2.56,2.21,2.48,2.48,"4,013,600"
31,"Apr 12, 2024",2.21,2.4,2.07,2.4,2.4,"3,620,900"
32,"Apr 11, 2024",2.36,2.375,2.2,2.28,2.28,"2,104,100"
33,"Apr 10, 2024",2.35,2.48,2.31,2.37,2.37,"2,124,200"
34,"Apr 9, 2024",2.46,2.55,2.33,2.42,2.42,"4,546,800"
35,"Apr 8, 2024",2.16,2.54,2.16,2.41,2.41,"7,175,200"
36,"Apr 5, 2024",2.2,2.27,2.11,2.13,2.13,"3,965,100"
37,"Apr 4, 2024",2.53,2.64,2.2,2.24,2.24,"6,164,400"
38,"Apr 3, 2024",2.59,2.87,2.405,2.47,2.47,"8,360,500"
39,"Apr 2, 2024",2.48,2.92,2.35,2.8,2.8,"13,194,500"
40,"Apr 1, 2024",3.71,3.93,3.415,3.87,3.87,"13,614,100"
41,"Mar 28, 2024",3.28,3.735,3.23,3.57,3.57,"10,708,600"
42,"Mar 27, 2024",3.51,3.51,3.18,3.25,3.25,"6,743,200"
43,"Mar 26, 2024",3.88,3.89,3.22,3.44,3.44,"14,362,500"
44,"Mar 25, 2024",4.4,4.67,3.95,4.2,4.2,"11,324,500"
45,"Mar 22, 2024",4.19,4.6,3.72,4.28,4.28,"22,771,100"
46,"Mar 21, 2024",3.88,4.809,3.7,4.34,4.34,"46,445,600"
47,"Mar 20, 2024",2.74,3.55,2.61,3.41,3.41,"23,675,800"
48,"Mar 19, 2024",2.9,3.18,2.51,2.78,2.78,"17,750,900"
49,"Mar 18, 2024",2.34,3.88,2.2,2.9,2.9,"108,380,100"
50,"Mar 15, 2024",1.29,2.08,1.28,1.94,1.94,"29,805,700"
51,"Mar 14, 2024",1.38,1.38,1.22,1.31,1.31,"4,846,200"
52,"Mar 13, 2024",1.36,1.47,1.31,1.36,1.36,"6,355,700"
53,"Mar 12, 2024",1.75,1.77,1.28,1.36,1.36,"13,183,600"
54,"Mar 11, 2024",2.06,2.07,1.705,1.795,1.795,"4,700,400"
55,"Mar 8, 2024",2.27,2.47,2.13,2.13,2.13,"4,253,800"
56,"Mar 7, 2024",2.001,2.507,1.909,2.277,2.277,"6,361,461"
57,"Mar 6, 2024",1.978,2.047,1.84,2.001,2.001,"4,613,222"
58,"Mar 5, 2024",2.231,2.277,2.162,2.185,2.185,"2,494,161"
59,"Mar 4, 2024",2.392,2.415,2.139,2.208,2.208,"4,779,939"
60,"Mar 1, 2024",2.415,2.438,2.346,2.415,2.415,"3,389,326"
61,"Feb 29, 2024",2.484,2.553,2.346,2.415,2.415,"6,173,726"
62,"Feb 28, 2024",2.714,2.714,2.392,2.415,2.415,"4,966,339"
63,"Feb 27, 2024",2.415,2.645,2.3,2.622,2.622,"5,165,296"
64,"Feb 26, 2024",2.691,2.691,2.323,2.415,2.415,"4,635,543"
65,"Feb 23, 2024",2.645,2.737,2.392,2.668,2.668,"3,024,535"
66,"Feb 22, 2024",2.783,2.806,2.599,2.668,2.668,"3,944,513"
67,"Feb 21, 2024",2.99,3.059,2.875,2.875,2.875,"1,720,478"
68,"Feb 20, 2024",3.266,3.289,2.898,2.944,2.944,"4,175,126"
69,"Feb 16, 2024",3.335,3.427,3.197,3.243,3.243,"3,117,978"
70,"Feb 15, 2024",3.335,3.565,3.266,3.358,3.358,"3,133,004"
71,"Feb 14, 2024",3.381,3.404,3.266,3.266,3.266,"2,255,013"
72,"Feb 13, 2024",3.45,3.473,3.243,3.335,3.335,"2,569,991"
73,"Feb 12, 2024",3.611,3.703,3.473,3.496,3.496,"2,929,874"
74,"Feb 9, 2024",3.841,3.864,3.542,3.565,3.565,"3,651,891"
75,"Feb 8, 2024",3.795,3.91,3.703,3.772,3.772,"2,546,417"
76,"Feb 7, 2024",3.703,3.956,3.565,3.795,3.795,"2,475,330"
77,"Feb 6, 2024",3.634,3.749,3.542,3.703,3.703,"2,584,943"
78,"Feb 5, 2024",3.956,4.002,3.542,3.588,3.588,"3,533,252"
79,"Feb 2, 2024",4.117,4.209,3.91,3.91,3.91,"2,485,952"
80,"Feb 1, 2024",4.83,5.106,4.071,4.14,4.14,"4,072,578"
81,"Jan 31, 2024",4.209,4.899,4.071,4.692,4.692,"4,041,422"
82,"Jan 30, 2024",4.278,4.692,3.979,4.14,4.14,"3,795,091"
83,"Jan 29, 2024",3.657,4.324,3.588,4.301,4.301,"4,253,813"
84,"Jan 26, 2024",3.749,3.795,3.565,3.565,3.565,"2,401,709"
85,"Jan 25, 2024",3.979,3.979,3.657,3.749,3.749,"2,997,039"
86,"Jan 24, 2024",4.14,4.232,3.795,3.864,3.864,"1,806,270"
87,"Jan 23, 2024",4.186,4.209,3.818,3.979,3.979,"2,459,196"
88,"Jan 22, 2024",3.749,4.255,3.726,4.255,4.255,"2,689,617"
89,"Jan 19, 2024",3.91,3.91,3.657,3.795,3.795,"1,991,322"
90,"Jan 18, 2024",4.163,4.186,3.726,4.048,4.048,"2,658,557"
91,"Jan 17, 2024",4.209,4.462,4.071,4.14,4.14,"2,423,517"
92,"Jan 16, 2024",4.692,4.715,4.14,4.255,4.255,"3,117,470"
93,"Jan 12, 2024",4.853,4.922,4.623,4.669,4.669,"2,330,987"
94,"Jan 11, 2024",5.06,5.221,4.83,4.853,4.853,"2,534,243"
95,"Jan 10, 2024",5.06,5.474,4.899,5.037,5.037,"3,119,830"
96,"Jan 9, 2024",5.29,5.451,4.876,4.899,4.899,"4,306,396"
97,"Jan 8, 2024",6.394,7.084,5.612,5.796,5.796,"9,329,135"
98,"Jan 5, 2024",5.336,5.497,4.761,5.474,5.474,"3,814,804"
99,"Jan 4, 2024",5.244,5.313,4.876,4.899,4.899,"1,906,157"
100,"Jan 3, 2024",5.29,5.382,5.175,5.336,5.336,"1,114,417"
101,"Jan 2, 2024",5.842,5.911,5.267,5.29,5.29,"1,761,435"
102,"Dec 29, 2023",6.164,6.233,5.842,5.911,5.911,"1,361,530"
103,"Dec 28, 2023",5.635,6.256,5.635,6.049,6.049,"2,308,152"
104,"Dec 27, 2023",5.336,5.681,5.336,5.681,5.681,"1,428,522"
105,"Dec 26, 2023",5.497,5.52,5.244,5.382,5.382,"1,702,504"
106,"Dec 22, 2023",5.566,5.727,5.451,5.451,5.451,"1,810,896"
107,"Dec 21, 2023",5.819,5.888,5.405,5.566,5.566,"1,827,226"
108,"Dec 20, 2023",5.773,5.98,5.704,5.796,5.796,"1,299,430"
109,"Dec 19, 2023",6.187,6.21,5.704,5.865,5.865,"2,113,413"
110,"Dec 18, 2023",6.049,6.348,5.957,5.98,5.98,"1,981,183"
111,"Dec 15, 2023",6.049,6.21,5.819,5.888,5.888,"1,803,252"
112,"Dec 14, 2023",5.796,6.187,5.75,5.865,5.865,"1,537,304"
113,"Dec 13, 2023",5.382,5.681,5.221,5.589,5.589,"1,457,904"
114,"Dec 12, 2023",5.635,5.704,5.336,5.566,5.566,"1,140,900"
115,"Dec 11, 2023",5.773,6.026,5.543,5.727,5.727,"949,765"
116,"Dec 8, 2023",5.75,5.865,5.566,5.704,5.704,"1,046,139"
117,"Dec 7, 2023",6.187,6.256,5.75,5.75,5.75,"988,822"
118,"Dec 6, 2023",5.98,6.486,5.796,6.21,6.21,"1,166,204"
119,"Dec 5, 2023",6.187,6.21,5.75,5.888,5.888,"1,265,800"
120,"Dec 4, 2023",6.9,6.9,6.187,6.21,6.21,"1,533,857"
121,"Dec 1, 2023",7.061,7.13,6.67,6.67,6.67,"1,364,426"
122,"Nov 30, 2023",7.337,7.498,7.13,7.13,7.13,"1,279,183"
123,"Nov 29, 2023",8.05,8.257,7.13,7.13,7.13,"1,559,530"
124,"Nov 28, 2023",7.82,8.119,7.544,7.935,7.935,"966,578"
125,"Nov 27, 2023",7.222,7.682,7.015,7.636,7.636,"923,939"
126,"Nov 24, 2023",7.314,7.59,7.015,7.406,7.406,"686,574"
127,"Nov 22, 2023",8.096,8.119,7.245,7.567,7.567,"1,465,557"
128,"Nov 21, 2023",8.717,8.717,7.82,7.912,7.912,"1,964,443"
129,"Nov 20, 2023",7.36,8.809,7.268,8.372,8.372,"4,457,461"
130,"Nov 17, 2023",6.164,6.969,6.118,6.946,6.946,"1,729,100"
131,"Nov 16, 2023",6.325,6.647,5.819,5.98,5.98,"1,460,804"
132,"Nov 15, 2023",6.716,7.521,6.21,6.256,6.256,"2,295,791"
133,"Nov 14, 2023",6.003,6.463,5.911,6.21,6.21,"1,481,635"
134,"Nov 13, 2023",5.75,5.842,5.382,5.819,5.819,"1,166,035"
135,"Nov 10, 2023",5.29,5.635,5.106,5.635,5.635,"901,465"
136,"Nov 9, 2023",5.451,5.497,5.06,5.198,5.198,"986,196"
137,"Nov 8, 2023",5.911,5.957,5.336,5.382,5.382,"1,076,526"
138,"Nov 7, 2023",6.118,6.118,5.612,5.934,5.934,"1,302,987"
139,"Nov 6, 2023",6.555,6.555,5.865,6.026,6.026,"926,265"
140,"Nov 3, 2023",6.233,6.509,6.141,6.279,6.279,"991,757"
141,"Nov 2, 2023",6.026,6.9,5.957,6.325,6.325,"1,238,896"
142,"Nov 1, 2023",6.21,6.371,5.819,5.911,5.911,"633,004"
143,"Oct 31, 2023",5.888,6.302,5.75,6.302,6.302,"391,452"
144,"Oct 30, 2023",6.118,6.325,5.773,6.026,6.026,"684,148"
145,"Oct 27, 2023",6.325,6.325,5.934,6.095,6.095,"680,117"
146,"Oct 26, 2023",6.21,6.44,6.003,6.21,6.21,"558,017"
147,"Oct 25, 2023",7.13,7.153,6.141,6.233,6.233,"798,139"
148,"Oct 24, 2023",6.739,7.245,6.578,6.854,6.854,"769,026"
149,"Oct 23, 2023",6.095,6.647,5.934,6.417,6.417,"775,635"
150,"Oct 20, 2023",6.394,6.44,6.026,6.026,6.026,"857,891"
151,"Oct 19, 2023",7.13,7.13,6.44,6.44,6.44,"1,155,039"
152,"Oct 18, 2023",7.636,7.843,7.13,7.199,7.199,"784,922"
153,"Oct 17, 2023",7.59,8.004,7.567,7.705,7.705,"828,313"
154,"Oct 16, 2023",7.912,7.958,7.383,7.406,7.406,"658,704"
155,"Oct 13, 2023",7.797,7.935,7.475,7.682,7.682,"867,635"
156,"Oct 12, 2023",8.487,8.51,7.59,7.751,7.751,"1,207,291"
157,"Oct 11, 2023",9.108,9.315,8.464,8.464,8.464,"823,278"
158,"Oct 10, 2023",8.786,9.338,8.786,8.97,8.97,"790,070"
159,"Oct 9, 2023",9.361,9.384,8.579,8.832,8.832,"1,280,704"
160,"Oct 6, 2023",9.683,9.821,9.43,9.591,9.591,"872,757"
161,"Oct 5, 2023",9.913,10.235,9.2,10.212,10.212,"835,487"
162,"Oct 4, 2023",10.12,10.35,9.66,9.89,9.89,"646,470"
163,"Oct 3, 2023",10.327,10.442,10.005,10.235,10.235,"454,013"
164,"Oct 2, 2023",11.178,11.316,10.12,10.258,10.258,"801,665"
165,"Sep 29, 2023",10.925,11.431,10.925,11.27,11.27,"692,161"
166,"Sep 28, 2023",10.902,11.27,10.81,11.155,11.155,"299,400"
167,"Sep 27, 2023",10.718,11.27,10.58,11.27,11.27,"895,265"
168,"Sep 26, 2023",10.488,11.638,10.35,10.81,10.81,"1,188,343"
169,"Sep 25, 2023",10.143,10.58,9.821,10.534,10.534,"622,513"
170,"Sep 22, 2023",10.327,10.534,9.936,10.35,10.35,"605,583"
171,"Sep 21, 2023",10.396,10.603,10.074,10.189,10.189,"542,996"
172,"Sep 20, 2023",10.994,11.155,10.419,10.419,10.419,"591,078"
173,"Sep 19, 2023",10.81,11.385,10.235,10.971,10.971,"1,194,409"
174,"Sep 18, 2023",11.224,11.224,10.488,10.626,10.626,"1,431,817"
175,"Sep 15, 2023",11.937,12.006,10.833,11.086,11.086,"1,342,317"
176,"Sep 14, 2023",11.868,12.259,11.615,11.73,11.73,"571,674"
177,"Sep 13, 2023",12.121,12.167,11.638,11.73,11.73,"416,339"
178,"Sep 12, 2023",11.983,13.041,11.96,12.075,12.075,"606,213"
179,"Sep 11, 2023",11.615,12.19,11.569,11.96,11.96,"594,878"
180,"Sep 8, 2023",12.19,12.305,11.155,11.431,11.431,"1,017,135"
181,"Sep 7, 2023",12.19,12.42,11.592,12.351,12.351,"767,526"
182,"Sep 6, 2023",13.524,13.731,12.719,12.788,12.788,"705,996"
183,"Sep 5, 2023",13.685,14.191,13.34,13.708,13.708,"752,761"
184,"Sep 1, 2023",14.214,14.444,13.34,13.593,13.593,"942,396"
185,"Aug 31, 2023",15.41,15.594,13.34,13.639,13.639,"1,710,222"
186,"Aug 30, 2023",14.628,15.962,14.628,15.479,15.479,"1,990,787"
187,"Aug 29, 2023",13.961,15.847,13.11,14.674,14.674,"2,636,157"
188,"Aug 28, 2023",12.19,14.812,12.19,14.812,14.812,"4,968,165"
189,"Aug 25, 2023",11.523,12.535,11.5,12.144,12.144,"1,304,483"
190,"Aug 24, 2023",12.351,12.512,11.201,11.822,11.822,"1,220,783"
191,"Aug 23, 2023",11.73,12.65,11.73,12.282,12.282,"1,087,835"
192,"Aug 22, 2023",10.971,11.891,10.948,11.845,11.845,"1,440,500"
193,"Aug 21, 2023",10.097,11.178,9.936,10.971,10.971,"904,843"
194,"Aug 18, 2023",9.66,10.235,9.66,10.166,10.166,"709,670"
195,"Aug 17, 2023",10.189,10.58,9.936,10.166,10.166,"942,800"
196,"Aug 16, 2023",10.695,10.764,9.89,10.051,10.051,"1,611,091"
197,"Aug 15, 2023",12.052,12.121,10.81,11.132,11.132,"1,715,191"
198,"Aug 14, 2023",11.983,12.19,11.04,11.707,11.707,"1,661,887"
199,"Aug 11, 2023",11.96,12.19,11.5,11.845,11.845,"1,041,357"
200,"Aug 10, 2023",12.351,12.351,11.707,11.983,11.983,"1,028,639"
201,"Aug 9, 2023",12.65,12.834,11.661,12.213,12.213,"1,226,913"
202,"Aug 8, 2023",12.604,13.11,12.535,12.811,12.811,"782,248"
203,"Aug 7, 2023",13.754,13.754,12.075,13.087,13.087,"2,114,570"
204,"Aug 4, 2023",15.18,15.203,13.616,13.869,13.869,"1,361,757"
205,"Aug 3, 2023",14.168,15.111,13.777,14.904,14.904,"1,039,409"
206,"Aug 2, 2023",14.49,14.996,13.846,14.467,14.467,"972,504"
207,"Aug 1, 2023",15.134,15.525,14.283,15.088,15.088,"1,539,548"
208,"Jul 31, 2023",12.88,15.042,12.788,14.835,14.835,"2,896,509"
209,"Jul 28, 2023",12.282,13.248,11.96,12.466,12.466,"1,630,439"
210,"Jul 27, 2023",13.57,13.593,11.96,12.006,12.006,"1,538,878"
211,"Jul 26, 2023",12.765,13.455,12.558,13.294,13.294,"1,308,387"
212,"Jul 25, 2023",14.214,14.444,12.535,12.581,12.581,"1,820,661"
213,"Jul 24, 2023",14.72,14.812,13.524,14.007,14.007,"1,445,687"
214,"Jul 21, 2023",15.824,16.054,14.145,14.812,14.812,"1,767,317"
215,"Jul 20, 2023",16.905,17.204,14.973,15.295,15.295,"1,968,100"
216,"Jul 19, 2023",17.25,19.504,16.123,16.514,16.514,"4,344,713"
217,"Jul 18, 2023",16.123,18.239,15.64,16.1,16.1,"3,529,026"
218,"Jul 17, 2023",15.525,16.836,14.536,15.985,15.985,"2,764,874"
219,"Jul 14, 2023",13.225,16.974,12.949,16.261,16.261,"8,235,339"
220,"Jul 13, 2023",12.65,12.88,12.213,12.765,12.765,"1,148,152"
221,"Jul 12, 2023",12.627,12.995,11.983,12.65,12.65,"1,470,461"
222,"Jul 11, 2023",11.707,12.029,11.546,11.891,11.891,"1,549,439"
223,"Jul 10, 2023",14.697,14.72,11.408,11.5,11.5,"4,786,665"
224,"Jul 7, 2023",12.052,12.926,11.776,12.719,12.719,"867,965"
225,"Jul 6, 2023",12.374,12.397,11.5,11.868,11.868,"806,987"
226,"Jul 5, 2023",12.65,12.88,12.374,12.65,12.65,"951,604"
227,"Jul 3, 2023",11.638,12.42,11.592,12.42,12.42,"1,286,748"
228,"Jun 30, 2023",10.971,11.339,10.787,11.017,11.017,"935,743"
229,"Jun 29, 2023",10.396,11.477,9.982,10.787,10.787,"1,522,378"
230,"Jun 28, 2023",9.89,10.212,9.66,9.982,9.982,"863,957"
231,"Jun 27, 2023",10.649,10.718,9.522,9.775,9.775,"1,318,304"
232,"Jun 26, 2023",11.73,11.73,10.396,10.396,10.396,"1,203,822"
233,"Jun 23, 2023",11.96,12.466,11.362,11.5,11.5,"2,695,691"
234,"Jun 22, 2023",12.19,12.489,11.845,11.914,11.914,"961,639"
235,"Jun 21, 2023",13.11,13.225,11.73,12.167,12.167,"2,047,813"
236,"Jun 20, 2023",15.41,15.755,12.857,12.903,12.903,"1,764,296"
237,"Jun 16, 2023",16.284,17.25,15.18,15.18,15.18,"2,246,243"
238,"Jun 15, 2023",13.11,16.445,12.995,15.226,15.226,"2,855,509"
239,"Jun 14, 2023",12.995,13.754,12.903,12.949,12.949,"686,687"
240,"Jun 13, 2023",12.259,12.949,12.029,12.903,12.903,"949,313"
241,"Jun 12, 2023",12.236,12.765,12.075,12.374,12.374,"679,957"
242,"Jun 9, 2023",12.65,12.742,12.052,12.052,12.052,"648,696"
243,"Jun 8, 2023",13.57,13.731,12.029,12.374,12.374,"1,050,552"
244,"Jun 7, 2023",13.11,13.915,13.11,13.386,13.386,"829,048"
245,"Jun 6, 2023",12.834,13.11,12.581,12.972,12.972,"737,491"
246,"Jun 5, 2023",12.88,13.34,12.65,12.834,12.834,"894,817"
247,"Jun 2, 2023",12.88,12.88,12.443,12.65,12.65,"415,561"
248,"Jun 1, 2023",12.65,12.834,12.535,12.604,12.604,"510,513"
249,"May 31, 2023",13.202,13.225,12.535,12.788,12.788,"620,200"
250,"May 30, 2023",13.823,13.892,12.535,13.202,13.202,"945,326"
251,"May 26, 2023",13.34,14.536,13.202,13.616,13.616,"603,843"
252,"May 25, 2023",14.237,14.26,12.995,13.156,13.156,"650,409"
